Id,Data,Unk,Text
1,CgCQAZEBkgE6AQIAPQEBAD4BAQBGAQEASAEBAC4BAQAAAAAAAAAAAAIABAADAAEAAwABAAAAAgA=,0,"""回復HP30％ CP+50\n\n回復HP10％ CP+25\n\n「CP+100」或「瀕死」\n\n"""
2,CgCTAZQBlQE1AQEANgEBADoBAgA7AQEARAECACwBAgAuAQIAMgECAAEAAwADAAQAAgABAAAAAgA=,0,"""回復HP75％ 回復EP75％\n CP+75\n回復HP40％ 回復EP40％\n CP+40\n「CP+200」\n或「CP0＆瀕死」\n"""
3,CgCWAZcBmAE0AQEAOQEBAD0BAQBBAQEAAAAAAAAAAAAAAAAAAAAAAAIAAwAEAAEAAgABAAAAAwA=,0,"""回復HP15％\n解除「無法戰鬥」\n回復HP5％\n解除「無法戰鬥」\n回復HP5％\n解除「能力降低」\n"""
4,CgCZAZoBmwE5AQMAPQEDAEkBAwAsAQEAAAAAAAAAAAAAAAAAAAAAAAIAAwAEAAAAAwACAAEAAQA=,0,"""回復HP40％ STR+50％\n\n回復HP20％ STR+50％\n\n回復HP10％\n「完全防禦物理攻擊」效果\n"""
5,CgCcAZ0BngE4AQEARQEBAEcBAQBJAQEALQEBAC4BAQAAAAAAAAAAAAEAAgAEAAEAAgAAAAMAAwA=,0,"""回復HP30％\n解除「所有異常狀態」\n回復HP10％\n解除「所有異常狀態」\n回復HP15％ 回復EP15％\n CP+15\n"""
6,CgCfAaABoQE1AQEANgEBADoBAQBGAQEARwEBAEkBAQAuAQEAAAAAAAEAAwADAAAAAgABAAIABAA=,0,"""回復HP60％\n解除「石化」\n回復HP30％\n\n回復HP10％\n解除「石化・凍結」\n"""
7,CgCiAaMBpAE2AQEANwEBAD0BAQBDAQEARgEBAEoBAgAtAQEAAAAAAAEAAwADAAAABAACAAEAAgA=,0,"""回復HP60％\n解除「炎傷」\n回復HP25％\n解除「炎傷」\n回復HP10％\n解除「中毒・黑暗・炎傷」\n"""
8,CgClAaYBpwE7AQEAPgEBAEoBAgAtAQEAMAEBAAAAAAAAAAAAAAAAAAEAAwACAAMABAACAAEAAAA=,0,"""回復HP10％ SPD+50％\n\n回復HP5％ SPD+25％\n\n攻擊：威力300 直線\n25％無法戰鬥\n"""
9,CgCoAakBqgE0AQEAOQECADoBAgBBAQEARwEBAEgBAQAvAQEAAAAAAAAAAwACAAIAAQABAAQAAwA=,0,"""回復HP60％ CP+30\n\n回復HP40％ CP+20\n\n攻擊：威力350 大圓\n80％炎傷\n"""
10,CgCrAawBrQE4AQIAOQEBADsBAQA+AQEAQAEBAC8BAQAAAAAAAAAAAAAABAABAAIAAgABAAMAAwA=,0,"""回復HP50％\n解除「封技・封魔」\n回復HP25％\n解除「封技」\n攻擊：威力450 中圓\n100％昏厥\n"""
11,CgCuAa8BsAE3AQEAPgEBAEABAQBIAQEALAEBAAAAAAAAAAAAAAAAAAEABAAAAAEAAwACAAMAAgA=,0,"""回復HP30％ CP+30\n\n回復HP15％ CP+15\n\n回復HP5％ CP+40\n\n"""
12,CgCxAbIBswE5AQEAPgEBAEABAgBFAQEASAECACwBAQAtAQEAMQECAAAAAwACAAIAAQABAAMABAA=,0,"""回復HP75％ CP+60\n\n回復HP50％ CP+30\n\n回復HP5％ CP+95\n\n"""
13,CgC0AbUBtgE3AQEAPgECAEkBAQAAAAAAAAAAAAAAAAAAAAAAAAAAAAEAAwABAAIABAACAAMAAAA=,0,"""回復HP15％ STR+25％\n\n回復HP15％\n\n回復HP5％ DEF+50％\n\n"""
14,CgC3AbgBuQE0AQEANQEBAEMBAQBFAQEARgEBAEcBAQBKAQEALwECAAEAAwACAAQAAwAAAAEAAgA=,0,"""回復HP80％\n解除「所有異常狀態」\n回復HP40％\n解除「所有異常狀態」\n攻擊：威力500 大圓\n100％隨機異常狀態\n"""
15,CgC6AbsBvAE/AQIARAEBAEUBAgAyAQEAAAAAAAAAAAAAAAAAAAAAAAEAAgADAAQAAgAAAAMAAQA=,0,"""回復HP15％\nATS+50％\n回復HP10％\nATS+25％\n回復HP5％\nATS+25％ ADF+25％\n"""
16,CgC9Ab4BvwE4AQEAPAEBAEIBAQBDAQEARwEBADIBAQAAAAAAAAAAAAQAAQAAAAMAAgACAAEAAwA=,0,"""回復HP40％ 回復EP40％\nATS+25％\n回復HP20％ 回復EP20％\n\n回復HP10％ 回復EP10％\nATS+50％\n"""
17,CgDAAcEBwgE8AQIAPgEBAD8BAQBBAQEARAECADABAQAAAAAAAAAAAAMAAAABAAIAAgABAAQAAwA=,0,"""回復HP60％\nATS+50％ ADF+50％\n回復HP30％\nATS+25％ ADF+25％\n回復EP50％\n「魔法反射」效果\n"""
18,CgDDAcQBxQE4AQEAPAEBAD8BAQBCAQEAMQEBAAAAAAAAAAAAAAAAAAMAAAACAAMAAQAEAAEAAgA=,0,"""回復HP30％ 迴避率+30％\n\n回復HP15％ 迴避率+15％\n\n回復HP5％ 迴避率+50％\n\n"""
19,CgDGAccByAE/AQEAQQEBAEIBAQBHAQEAMQEBAAAAAAAAAAAAAAAAAAQAAAABAAIAAQACAAMAAwA=,0,"""回復HP40％ 回復EP20％\n\n回復HP20％ 回復EP10％\n\n回復HP10％ 回復EP10％\n解除「無法戰鬥」\n"""
20,CgDJAcoBywE7AQIAPQECAEQBAgAwAQEAAAAAAAAAAAAAAAAAAAAAAAQAAQAAAAIAAwADAAIAAQA=,0,"""回復HP30％\nSPD+25％ MOV+5\n回復HP30％\n MOV+3\n回復HP20％\n「匿蹤」效果\n"""
21,CgDMAc0BzgE3AQEAOAEBADwBAQA/AQEAMQEBAAAAAAAAAAAAAAAAAAIAAQABAAMAAAACAAMABAA=,0,"""回復HP40％\n解除「無法戰鬥」\n回復HP20％\n解除「無法戰鬥」\n CP+10\n解除「能力降低」\n"""
22,CgDPAdAB0QE8AQIAQgECAEMBAgAyAQEAAAAAAAAAAAAAAAAAAAAAAAMAAQABAAIAAAAEAAMAAgA=,0,"""回復HP60％ 命中率+50％\n\n回復HP30％ 命中率+50％\n\n回復EP30％\n\n"""
23,CgDSAdMB1AE8AQEAPwEBAEQBAgAAAAAAAAAAAAAAAAAAAAAAAAAAAAIAAQACAAMAAQADAAQAAAA=,0,"""回復HP20％\n解除「睡眠・混亂・昏厥」\n回復HP10％\n解除「睡眠」\n回復EP20％\n\n"""
24,CgDVAdYB1wE2AQIANwEBADgBAQBCAQEAQwEBAC8BAQAwAQIAMgEBAAMAAQACAAEAAAAEAAMAAgA=,0,"""回復HP100％\n解除「無法戰鬥」\n回復HP50％\n解除「無法戰鬥」\nEP全回復\n\n"""
999,AAAAAAAAAACOAwUAhwEPANgBHgDZATIAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA=,0,
0,AAA8AB4AAAAKACgAKAAKAAoAFAAyAAoAFAAKACgAFAAeAAAAHgAeACgAAAABADwAFAAFAA8AKAAeAA8ADwAUACgADwAZAAoAHgAZACMAAAAUACMALQAAAAIAPAAZAAAADwAoACMACgAPABQALQAKABkACgAjABQAIwAAABkAHgAtAAAAAwBBAA8ABQAPAC0AGQAPAA8AGQAjAA8AGQAPABkAGQAjAAUADwAjAC0AAAAEAEEADwAFAA8ALQAZAA8ADwAZACMADwAZAA8AGQAZACMABQAPACMALQAAAAUAPAAZAAAADwAoACMACgAPABQALQAKABkACgAjABQAIwAAABkAHgAtAAAABgA8ABQABQAPACgAHgAPAA8AFAAoAA8AGQAKAB4AGQAjAAAAFAAjAC0AAAAHADwAHgAAAAoAKAAoAAoACgAUADIACgAUAAoAKAAUAB4AAAAeAB4AKAAAAAAAEggTCBMIFAgUCBUIFggXCBgIAQB0CHUIdQh2CHYIdwh4CHkIeggCANQI1QjVCNYI1gjXCNgI2QjaCAMAMgkzCTMJNAk0CTUJNgk3CTgJBABNC04LTgtPC08LUAtRC1ILUwsFAKgNqQ2pDaoNqg2rDawNrQ2uDQYAnwygDKAMoQyhDKIMowykDKUMBwBpDWoNag1rDWsNbA1tDQUKbg0IAAAAAAAAAAAAAAC3C7gLuQu6Cw==,0,
