Id,Data,Text
900,UACWAFAAlgACIQAwAAAAAA==,"""020瓦魯多"""
901,UACWAFAAlgABJAAwAAAAAA==,"""024亞里歐斯(普通服裝)"""
902,UACWAFAAlgAAMwAwAAAAAA==,"""033西格蒙特"""
903,UACWAFAAlgAANAAwAAAAAA==,"""034謝莉"""
904,UACWAFAAlgAANQAwAAAAAA==,"""035雅里安洛德"""
905,UACWAFAAlgAANgAwAAAAAA==,"""036坎佩尼拉"""
906,UACWAFAAlgAANwAwAAAAAA==,"""037瑪利亞貝爾"""
907,UACWAFAAlgAAOAAwAAAAAA==,"""038亞里歐斯(長官服)"""
908,UACWAFAAlgAAOQAwAAAAAA==,"""039諾艾兒(國防軍服)"""
909,UACWAFAAlgAAIAMwAAAAAA==,"""320遊擊士林"""
910,UACWAFAAlgAAIQMwAAAAAA==,"""321遊擊士艾歐莉雅"""
911,UACWAFAAlgAAFAQwAAAAAA==,"""414國防軍士兵Ａ(槍)"""
912,UACWAFAAlgAAFQQwAAAAAA==,"""415國防軍士兵Ｂ(斧槍)"""
913,UACWAFAAlgAAGQQwAAAAAA==,"""419紅色星座獵兵Ａ(槍)"""
914,UACWAFAAlgAAIAQwAAAAAA==,"""420紅色星座獵兵Ｂ(劍)"""
915,UACWAFAAlgAAIQQwAAAAAA==,"""421紅色星座獵兵Ｃ(加雷斯)"""
916,UACWAFAAlgAAIgQwAAAAAA==,"""422帝國恐怖分子Ａ(劍盾)"""
917,UACWAFAAlgAAIwQwAAAAAA==,"""423帝國恐怖分子Ｂ(槍)"""
918,UACWAFAAlgAAJQQwAAAAAA==,"""425共和國恐怖分子Ａ(槍)"""
919,UACWAFAAlgAAMQQwAAAAAA==,"""431神速之杜芭利"""
920,UACWAFAAlgAAMgQwAAAAAA==,"""毅のアイネス"""
921,UACWAFAAlgAAMwQwAAAAAA==,"""433魔弓のエンネア"""
922,UACWAFAAlgAASQQwAAAAAA==,"""449道格拉司副司令"""
923,UACWAFAAlgAAEgMwAAAAAA==,"""312警備隊員Ａ(槍)"""
924,UACWAFAAlgAAEwMwAAAAAA==,"""313警備隊員Ｂ(斧槍)"""
925,UACWAFAAlgAAQQIwAAAAAA==,"""241假貨商老婆婆"""
15,UACWAFAAlgAAAAYwAAAAAA==,"""600飛行貓izikuri"""
16,UACWAFAAlgAAAQYwAAAAAA==,"""×601刺針・小鼠"""
17,UACWAFAAlgAAAgYwAAAAAA==,"""×602暗黑無花果"""
18,UACWAFAAlgAAAwYwAAAAAA==,"""×603チャバネイ"""
19,UACWAFAAlgAABAYwAAAAAA==,"""×604暗黑膠粘體"""
20,UACWAFAAlgAABQYwAAAAAA==,"""605故障機體Ｂ"""
21,UACWAFAAlgAABgYwAAAAAA==,"""×606蝙蝠犬鼠"""
22,UACWAFAAlgABBwYwAAAAAA==,"""607硬岩龍"""
23,UACWAFAAlgAACAYwAAAAAA==,"""×608ムニョロニョロ"""
24,UACWAFAAlgAACQYwAAAAAA==,"""609黑遲緩蟲"""
25,UACWAFAAlgAAEAYwAAAAAA==,"""610鋼鐵飛羽鳥"""
26,UACWAFAAlgAAEQYwAAAAAA==,"""611クリドゥバ"""
27,UACWAFAAlgAAEgYwAAAAAA==,"""×612故障機體ＤＸ"""
28,UACWAFAAlgAAEwYwAAAAAA==,"""613モーリーマッ"""
29,UACWAFAAlgAAFAYwAAAAAA==,"""614チョウチョウチョウ"""
30,UACWAFAAlgAAFQYwAAAAAA==,"""×615暗黑英雄"""
31,UACWAFAAlgAAFgYwAAAAAA==,"""×616白魔冠（最終BOSS回復）"""
32,UACWAFAAlgAAFwYwAAAAAA==,"""×617墓地蝙蝠"""
33,UACWAFAAlgAAGAYwAAAAAA==,"""618疾風竹葉貓"""
34,UACWAFAAlgAAGQYwAAAAAA==,"""×619ゾウリフライヤ"""
35,UACWAFAAlgAAIAYwAAAAAA==,"""×620電塵狸貓"""
36,UACWAFAAlgAAIQYwAAAAAA==,"""621電熊"""
37,UACWAFAAlgAAIgYwAAAAAA==,"""622殺手泡泡果"""
38,UACWAFAAlgAAIwYwAAAAAA==,"""623巨型軟體獸"""
39,UACWAFAAlgAAJAYwAAAAAA==,"""624利刃香蕉獸"""
40,UACWAFAAlgAAJQYwAAAAAA==,"""625岩石鼠"""
41,UACWAFAAlgAAJgYwAAAAAA==,"""626頭罩掠食蟲"""
42,UACWAFAAlgAAJwYwAAAAAA==,"""627暗影獸"""
43,UACWAFAAlgAAKAYwAAAAAA==,"""628活盾牌"""
44,UACWAFAAlgAAKQYwAAAAAA==,"""×629猛攻餓狼"""
45,UACWAFAAlgAAMAYwAAAAAA==,"""630蛋蛇"""
46,UACWAFAAlgAAMQYwAAAAAA==,"""×631寒冰至尊"""
47,UACWAFAAlgAAMgYwAAAAAA==,"""632啃咬狼"""
48,UACWAFAAlgAAMwYwAAAAAA==,"""633活鎧甲"""
49,UACWAFAAlgAANAYwAAAAAA==,"""634オドロンドロ"""
50,UACWAFAAlgAANQYwAAAAAA==,"""635活圖騰"""
51,UACWAFAAlgAANgYwAAAAAA==,"""636絨毛浮遊蟲"""
52,UACWAFAAlgAANwYwAAAAAA==,"""637凶暴角牛"""
53,UACWAFAAlgAAOAYwAAAAAA==,"""638蛇虎魚"""
54,UACWAFAAlgAAOQYwAAAAAA==,"""639金斧鳥"""
55,UACWAFAAlgAAQAYwAAAAAA==,"""640苦番茄人熟"""
56,UACWAFAAlgAAQQYwAAAAAA==,"""641苦番茄人未"""
57,UACWAFAAlgAAQgYwAAAAAA==,"""642苦番茄人茄"""
58,UACWAFAAlgAAQwYwAAAAAA==,"""643下沖獵鷹"""
59,UACWAFAAlgAARAYwAAAAAA==,"""644飛魚"""
60,UACWAFAAlgAARQYwAAAAAA==,"""645毀滅花冠"""
61,UACWAFAAlgAARgYwAAAAAA==,"""646活斧頭"""
62,UACWAFAAlgAARwYwAAAAAA==,"""×647幻魔魚人"""
63,UACWAFAAlgAASAYwAAAAAA==,"""×648飛翼蟻"""
64,UACWAFAAlgAASQYwAAAAAA==,"""649首領蚊"""
65,UACWAFAAlgAAUAYwAAAAAA==,"""650彩蛋蛇"""
66,UACWAFAAlgAAUQYwAAAAAA==,"""651豬籠草"""
67,UACWAFAAlgAAUgYwAAAAAA==,"""652熱帶射水魚"""
68,UACWAFAAlgAAUwYwAAAAAA==,"""653後沖魚"""
69,UACWAFAAlgAAVAYwAAAAAA==,"""×654蛇面魔牛"""
70,UACWAFAAlgAAVQYwAAAAAA==,"""655蜂鳥鱷魚"""
71,UACWAFAAlgAAVgYwAAAAAA==,"""656狒狒可愛猿"""
72,UACWAFAAlgAAVwYwAAAAAA==,"""657火焰甲殼蟲"""
73,UACWAFAAlgAAWAYwAAAAAA==,"""658死亡蝸牛"""
74,UACWAFAAlgAAWQYwAAAAAA==,"""659オビールスライム"""
75,UACWAFAAlgAAYAYwAAAAAA==,"""×660赤毛猿羊"""
76,UACWAFAAlgAAYQYwAAAAAA==,"""×661ゴルドチャバネイ"""
77,UACWAFAAlgAAYgYwAAAAAA==,"""662吟遊史學蛙人"""
78,UACWAFAAlgAAYwYwAAAAAA==,"""663波姆"""
79,UACWAFAAlgAAZAYwAAAAAA==,"""664天使羊波姆"""
80,UACWAFAAlgAAZQYwAAAAAA==,"""665遲緩蟲"""
81,UACWAFAAlgAAZgYwAAAAAA==,"""656長耳可愛猿"""
82,UACWAFAAlgAAZwYwAAAAAA==,"""667紫色布丁花"""
83,UACWAFAAlgAAaAYwAAAAAA==,"""668耀晶石惡魔"""
84,UACWAFAAlgAAaQYwAAAAAA==,"""×669猿羊"""
85,UACWAFAAlgAAcAYwAAAAAA==,"""×670巨大蝙蝠"""
86,UACWAFAAlgAAcQYwAAAAAA==,"""×671獵犬帝王"""
87,UACWAFAAlgAAcgYwAAAAAA==,"""672黑魔犬地獄犬"""
88,UACWAFAAlgAAcwYwAAAAAA==,"""×673黑魔人"""
89,UACWAFAAlgAAdAYwAAAAAA==,"""674魔人阿奈斯特"""
90,UACWAFAAlgAAdQYwAAAAAA==,"""×675マーズアタッック"""
91,UACWAFAAlgAAdgYwAAAAAA==,"""×676三位一體攻擊者Ｒ"""
92,UACWAFAAlgAAdwYwAAAAAA==,"""×677三位一體攻擊者Ｃ"""
93,UACWAFAAlgAAeAYwAAAAAA==,"""×678三位一體攻擊者Ｓ"""
94,UACWAFAAlgAAeQYwAAAAAA==,"""×679巡邏警報機"""
95,UACWAFAAlgAAgAYwAAAAAA==,"""×680カニバボリャ"""
96,UACWAFAAlgAAgQYwAAAAAA==,"""681致命毒蜘蛛"""
97,UACWAFAAlgAAggYwAAAAAA==,"""×682紅色電磁傲武者"""
98,UACWAFAAlgAAgwYwAAAAAA==,"""×683支援野戰機"""
99,UACWAFAAlgAAhAYwAAAAAA==,"""×684海洋月魔"""
100,UACWAFAAlgAAhQYwAAAAAA==,"""685強壯赤毛猩"""
101,UACWAFAAlgAAhgYwAAAAAA==,"""×686蒼藍毒蜘蛛"""
102,UACWAFAAlgAAhwYwAAAAAA==,"""687噬光血魚"""
103,UACWAFAAlgAAiAYwAAAAAA==,"""×688邪念惡魔"""
104,UACWAFAAlgAAiQYwAAAAAA==,"""689軟毛毒氣獸"""
105,UACWAFAAlgAAkAYwAAAAAA==,"""×690勇猛・小鼠"""
106,UACWAFAAlgAAkQYwAAAAAA==,"""691チョンギ"""
107,UACWAFAAlgAAkgYwAAAAAA==,"""×692バンパイアバット"""
108,UACWAFAAlgAAkwYwAAAAAA==,"""693角蛙"""
109,UACWAFAAlgAAlAYwAAAAAA==,"""694泥土軟體獸"""
110,UACWAFAAlgAAlQYwAAAAAA==,"""695吸血棘刺"""
111,UACWAFAAlgAAlgYwAAAAAA==,"""×696黑魔冠（最終BOSS攻擊）"""
112,UACWAFAAlgAAlwYwAAAAAA==,"""697海洋軟體獸"""
113,UACWAFAAlgAAmAYwAAAAAA==,"""698岩漿軟體獸"""
114,UACWAFAAlgAAmQYwAAAAAA==,"""699玻璃軟體獸"""
115,UACWAFAAlgAAAAcwAAAAAA==,"""700惡魔巨翼龍"""
116,UACWAFAAlgAAAQcwAAAAAA==,"""701魔塊原初恐懼"""
117,UACWAFAAlgAAAgcwAAAAAA==,"""702強壯巨骨猩"""
118,UACWAFAAlgAAAwcwAAAAAA==,"""703斧首孔雀"""
119,UACWAFAAlgAABAcwAAAAAA==,"""704黑色獵蟲"""
120,UACWAFAAlgAABQcwAAAAAA==,"""705寄生泡泡果"""
121,UACWAFAAlgAABgcwAAAAAA==,"""×706冰凍百合"""
122,UACWAFAAlgAABwcwAAAAAA==,"""707キョウチョウチョウ"""
123,UACWAFAAlgAACAcwAAAAAA==,"""708キッチョウチョウ"""
124,UACWAFAAlgAACQcwAAAAAA==,"""×709耀晶片惡魔（黑）"""
125,UACWAFAAlgAAEAcwAAAAAA==,"""×710壕溝水蛭"""
126,UACWAFAAlgAAEQcwAAAAAA==,"""×711紅色食人魚"""
127,UACWAFAAlgAAEgcwAAAAAA==,"""×712蛇虎魚女王"""
128,UACWAFAAlgAAEwcwAAAAAA==,"""713火焰蛇虎魚"""
129,UACWAFAAlgAAFAcwAAAAAA==,"""×714墓地飛行者"""
130,UACWAFAAlgAAFQcwAAAAAA==,"""715金屬甲殼蟲"""
131,UACWAFAAlgAAFgcwAAAAAA==,"""716巨鷹"""
132,UACWAFAAlgAAFwcwAAAAAA==,"""717綠色食石怪"""
133,UACWAFAAlgAAGAcwAAAAAA==,"""718支配者・斷罪天使"""
134,UACWAFAAlgAAGQcwAAAAAA==,"""719エ烏黑軟體獸"""
135,UACWAFAAlgAAIAcwAAAAAA==,"""×720★！約亞西姆變形！"""
136,UACWAFAAlgAAIQcwAAAAAA==,"""×721小型角猿"""
137,UACWAFAAlgAAIgcwAAAAAA==,"""722幻魔"""
138,UACWAFAAlgAAIwcwAAAAAA==,"""723星星甲殼蟲"""
139,UACWAFAAlgAAJAcwAAAAAA==,"""724羽蛇神"""
140,UACWAFAAlgAAJQcwAAAAAA==,"""×725吸血魔人"""
141,UACWAFAAlgAAJgcwAAAAAA==,"""×726支配者・炎天使"""
142,UACWAFAAlgAAJwcwAAAAAA==,"""727陸戰菠蘿獸"""
143,UACWAFAAlgAAKAcwAAAAAA==,"""728赤紅毒蜘蛛"""
144,UACWAFAAlgAAKQcwAAAAAA==,"""×729鋼鐵完全體"""
145,UACWAFAAlgAAMAcwAAAAAA==,"""×730喧鬧幽靈"""
146,UACWAFAAlgAAMQcwAAAAAA==,"""×731スコッチュグミ"""
147,UACWAFAAlgAAMgcwAAAAAA==,"""732冰禿鷹"""
148,UACWAFAAlgAAMwcwAAAAAA==,"""×733スパークルレジェンド"""
149,UACWAFAAlgAANAcwAAAAAA==,"""734骷髏邪首"""
