W,H,cW,cH,Id,File,Text
512,512,480,272,65535,"""extra/c_chr100""","""这是羅伊德哦。"""
512,512,480,272,65535,"""extra/c_chr101""","""这是艾莉哦。"""
512,512,480,272,65535,"""extra/c_chr102""","""这是緹歐哦。"""
512,512,480,272,65535,"""extra/c_chr103""","""这是蘭迪哦。"""
512,512,480,272,65535,"""extra/c_chr105""","""这是諾艾兒哦。"""
512,512,480,272,65535,"""extra/c_chr104""","""这是瓦奇哦。"""
512,512,480,272,65535,"""extra/c_chr106""","""这是達德利哦。"""
512,512,480,272,65535,"""extra/c_chr118""","""这是莉夏哦。"""
512,512,480,272,65535,"""extra/c_chr107""","""这是銀哦。"""
512,512,480,272,65535,"""extra/c_chr112""","""这是賽特哦。"""
512,512,480,272,65535,"""extra/c_chr114""","""这是亞里歐斯哦。"""
512,512,480,272,65535,"""extra/c_chr111""","""这是琪雅哦。"""
512,512,480,272,65535,"""extra/c_chr110""","""这是賽爾蓋課長哦。"""
512,512,480,272,65535,"""extra/c_chr113""","""这是賽西兒哦。"""
512,512,480,272,65535,"""extra/c_chr115""","""这是小滴哦。"""
512,512,480,272,65535,"""extra/c_chr117""","""这是伊莉雅哦。"""
512,512,480,272,65535,"""extra/c_chr137""","""这是修莉哦。"""
512,512,480,272,65535,"""extra/c_chr119""","""这是芙蘭哦。"""
512,512,480,272,65535,"""extra/c_chr120""","""这是索妮亞哦。"""
512,512,480,272,65535,"""extra/c_chr152""","""这是米蕾優哦。"""
512,512,480,272,65535,"""extra/c_chr123""","""这是約納哦。"""
512,512,480,272,65535,"""extra/c_chr116""","""这是瓦魯多哦。"""
512,512,480,272,65535,"""extra/c_chr129""","""这是加爾西亞哦。"""
512,512,480,272,65535,"""extra/c_chr136""","""这是阿巴斯哦。"""
512,512,480,272,65535,"""extra/c_chr121""","""这是格蕾絲哦。"""
512,512,480,272,65535,"""extra/c_chr135""","""这是蜜雪兒哦。"""
512,512,480,272,65535,"""extra/c_chr130""","""这是曹哦。"""
512,512,480,272,65535,"""extra/c_chr132""","""这是霧香哦。"""
512,512,480,272,65535,"""extra/c_chr133""","""这是雷克多哦。"""
512,512,480,272,65535,"""extra/c_chr124""","""这是麥克道爾老爺爺哦。"""
512,512,480,272,65535,"""extra/c_chr134""","""这是約魯古工匠哦。"""
512,512,480,272,65535,"""extra/c_chr122""","""这是伊安律師哦。"""
512,512,480,272,65535,"""extra/c_chr127""","""这是迪塔哦。"""
512,512,480,272,65535,"""extra/c_chr128""","""这是貝爾哦。"""
512,512,480,272,65535,"""extra/c_chr140""","""这是西格蒙特哦。"""
512,512,480,272,65535,"""extra/c_chr141""","""这是謝莉哦。"""
512,512,480,272,65535,"""extra/c_chr143""","""这是坎佩尼拉哦。"""
512,512,480,272,65535,"""extra/c_chr142""","""这是諾華提斯博士哦。"""
512,512,480,272,65535,"""extra/c_chr144""","""这是雅里安洛德哦。"""
512,512,480,272,65535,"""extra/c_chr108""","""这是艾絲蒂爾哦。"""
512,512,480,272,65535,"""extra/c_chr109""","""这是約書亞哦。"""
512,512,480,272,65535,"""extra/c_chr131""","""这是蕾恩哦。"""
512,512,480,272,65535,"""extra/c_chr138""","""这是凱文神父哦。"""
512,512,480,272,65535,"""extra/c_chr139""","""这是莉絲修女哦。"""
512,512,480,272,65535,"""extra/c_chr145""","""这是克蘿蒂雅公主哦。"""
