ID,File,Text
52,"""movie/ed72_op""","""要觀看『開場動畫』嗎？"""
565,"""movie/ed72_01""","""要觀看『重返克洛斯貝爾』嗎？"""
550,"""movie/ed72_02""","""要觀看『蘭花塔』嗎？"""
524,"""movie/ed72_08a""","""要觀看『波姆碰！①』嗎？"""
524,"""movie/ed72_08b""","""要觀看『波姆碰！②』嗎？"""
551,"""movie/ed72_03a""","""要觀看『ＩＢＣ大樓爆炸』嗎？"""
551,"""movie/ed72_03b""","""要觀看『貝奧武夫號』嗎？"""
556,"""movie/ed72_04a""","""要觀看『列車炮出現』嗎？"""
552,"""movie/ed72_05""","""要觀看『零之至寶・誕生』嗎？"""
553,"""movie/ed72_06""","""要觀看『神機降臨』嗎？"""
554,"""movie/ed72_04b""","""要觀看『卡雷利亞要塞消滅』嗎？"""
555,"""movie/ed72_07a""","""要觀看『碧之大樹出現』嗎？"""
542,"""movie/ed72_07b""","""要觀看『突入碧之大樹』嗎？"""
53,"""movie/ed72_ed""","""要觀看『結局動畫』嗎？"""
65535,"""""",""""""
