W,H,cW,cH,Unk1,File,Text
512,256,480,256,0,"""visual/c_vis229""","""要觀看『支援課的照片』嗎？"""
512,256,480,256,0,"""visual/c_vis266""","""要觀看『蘭迪的回憶１』嗎？"""
512,256,480,256,0,"""visual/c_vis267""","""要觀看『蘭迪的回憶２』嗎？"""
512,256,480,256,0,"""visual/c_vis268""","""要觀看『蘭迪的回憶３』嗎？"""
512,256,480,256,0,"""visual/c_vis303""","""要觀看『亞里歐斯的回憶１』嗎？"""
512,256,480,256,0,"""visual/c_vis304""","""要觀看『亞里歐斯的回憶２』嗎？"""
512,256,480,256,0,"""visual/c_vis305""","""要觀看『亞里歐斯的回憶３』嗎？"""
512,512,480,340,0,"""visual/c_vis330""","""要觀看『亞里歐斯的回憶４』嗎？"""
512,512,480,730,0,"""visual/c_vis331""","""要觀看『亞里歐斯的回憶５』嗎？"""
512,256,480,256,0,"""visual/c_vis306""","""要觀看『亞里歐斯的回憶６』嗎？"""
512,256,480,256,0,"""visual/c_vis307""","""要觀看『亞里歐斯的回憶７』嗎？"""
512,256,480,256,0,"""visual/c_vis308""","""要觀看『亞里歐斯的回憶８』嗎？"""
512,256,480,256,0,"""visual/c_vis309""","""要觀看『亞里歐斯的回憶９』嗎？"""
512,256,480,256,0,"""visual/c_vis320""","""要觀看『亞里歐斯的回憶１０』嗎？"""
512,256,480,256,0,"""visual/c_vis295""","""要觀看『噩夢１』嗎？"""
512,256,480,256,0,"""visual/c_vis333""","""要觀看『噩夢２』嗎？"""
512,256,480,256,0,"""visual/c_vis334""","""要觀看『噩夢３』嗎？"""
512,256,480,256,0,"""visual/c_vis346""","""要觀看『噩夢４』嗎？"""
512,256,480,256,0,"""visual/c_vis272""","""要觀看{0x0A}『幻之至寶１』嗎？"""
512,256,480,256,0,"""visual/c_vis273""","""要觀看{0x0A}『幻之至寶２』嗎？"""
512,256,480,256,0,"""visual/c_vis274""","""要觀看{0x0A}『幻之至寶３』嗎？"""
512,256,480,256,0,"""visual/c_vis275""","""要觀看{0x0A}『幻之至寶４』嗎？"""
512,256,480,256,0,"""visual/c_vis312""","""要觀看『紅色星座的徽章』嗎？"""
512,256,480,256,0,"""visual/c_vis251""","""要觀看『噬身之蛇的徽章』嗎？"""
512,256,480,256,0,"""visual/c_vis256""","""要觀看{0x0A}『蛇之使徒』嗎？"""
512,256,480,256,0,"""visual/c_vis418""","""要觀看『解放後的克洛斯貝爾』嗎？"""
512,256,480,256,39,"""visual/c_vis321""","""要觀看『莉夏的回憶１』嗎？"""
512,256,480,256,39,"""visual/c_vis322""","""要觀看『莉夏的回憶２』嗎？"""
512,256,480,256,39,"""visual/c_vis323""","""要觀看『莉夏的回憶３』嗎？"""
512,256,480,256,39,"""visual/c_vis324""","""要觀看『莉夏的回憶４』嗎？"""
512,256,480,256,38,"""visual/c_vis325""","""要觀看『瓦奇的回憶１』嗎？"""
512,256,480,256,38,"""visual/c_vis327""","""要觀看『瓦奇的回憶２』嗎？"""
512,256,480,256,38,"""visual/c_vis349""","""要觀看『瓦奇的回憶３』嗎？"""
256,256,256,256,0,"""visual/c_vis230""","""要觀看『ＥＮＩＧＭＡⅡ』嗎？"""
256,256,256,256,0,"""visual/c_vis011""","""要觀看『調查手冊』嗎？"""
256,256,256,256,0,"""visual/c_vis244""","""要觀看『吉克的字條』嗎？"""
256,256,256,256,0,"""visual/c_vis348""","""要觀看『怪盜Ｂ的卡片』嗎？"""
256,256,256,256,0,"""visual/c_vis252""","""要觀看『靈智之草１』嗎？"""
256,256,256,256,0,"""visual/c_vis253""","""要觀看『靈智之草２』嗎？"""
256,256,256,256,0,"""visual/c_vis336""","""要觀看『蓋的旋棍』嗎？"""
256,256,256,256,0,"""visual/c_vis378""","""要觀看{0x0A}『核心迴路１』嗎？"""
256,256,256,256,0,"""visual/c_vis379""","""要觀看{0x0A}『核心迴路２』嗎？"""
256,256,256,256,0,"""visual/c_vis380""","""要觀看{0x0A}『核心迴路３』嗎？"""
256,256,256,256,0,"""visual/c_vis381""","""要觀看{0x0A}『核心迴路４』嗎？"""
256,256,256,256,0,"""visual/c_vis350""","""要觀看{0x0A}『羅伊德的ＥＮＩＧＭＡ外殼１』嗎？"""
256,256,256,256,0,"""visual/c_vis351""","""要觀看{0x0A}『羅伊德的ＥＮＩＧＭＡ外殼２』嗎？"""
256,256,256,256,0,"""visual/c_vis352""","""要觀看{0x0A}『艾莉的ＥＮＩＧＭＡ外殼１』嗎？"""
256,256,256,256,0,"""visual/c_vis353""","""要觀看{0x0A}『艾莉的ＥＮＩＧＭＡ外殼２』嗎？"""
256,256,256,256,0,"""visual/c_vis354""","""要觀看{0x0A}『緹歐的ＥＮＩＧＭＡ外殼１』嗎？"""
256,256,256,256,0,"""visual/c_vis355""","""要觀看{0x0A}『緹歐的ＥＮＩＧＭＡ外殼２』嗎？"""
256,256,256,256,0,"""visual/c_vis356""","""要觀看{0x0A}『蘭迪的ＥＮＩＧＭＡ外殼１』嗎？"""
256,256,256,256,0,"""visual/c_vis357""","""要觀看{0x0A}『蘭迪的ＥＮＩＧＭＡ外殼２』嗎？"""
256,256,256,256,0,"""visual/c_vis358""","""要觀看{0x0A}『瓦奇的ＥＮＩＧＭＡ外殼』嗎？"""
256,256,256,256,0,"""visual/c_vis359""","""要觀看{0x0A}『諾艾兒的ＥＮＩＧＭＡ外殼』嗎？"""
256,256,256,256,0,"""visual/c_vis360""","""要觀看『羅伊德的家具１』嗎？"""
256,256,256,256,0,"""visual/c_vis361""","""要觀看『羅伊德的家具２』嗎？"""
256,256,256,256,0,"""visual/c_vis362""","""要觀看『艾莉的家具１』嗎？"""
256,256,256,256,0,"""visual/c_vis363""","""要觀看『艾莉的家具２』嗎？"""
256,256,256,256,0,"""visual/c_vis364""","""要觀看『緹歐的家具１』嗎？"""
256,256,256,256,0,"""visual/c_vis365""","""要觀看『緹歐的家具２』嗎？"""
256,256,256,256,0,"""visual/c_vis366""","""要觀看『蘭迪的家具１』嗎？"""
256,256,256,256,0,"""visual/c_vis367""","""要觀看『蘭迪的家具２』嗎？"""
