ItemType,Data,Name,Desc
None,AAAAAAAyAAAAAQAUAAAAAAAAAAAAAAAA,"""移動""",""" """
None,AQASFAABAQAAAAAeAAAAAGQAAAAAAAAA,""" """,""" """
None,AgAAAAAyAAAAAAAAAAAAAAAAAAAAAAAA,"""預約""",""" """
None,AwAAAAACAAAAAQAUAAAAAAAAAAAAAAAA,"""道具使用""",""" """
None,BAAAAAABAAAAAAAKAAAAAAAAAAAAAAAA,""" """,""" """
None,BQAAAAMBAAAECgAFCgACAAEAAAAAAAAA,"""預約""",""""""
None,BgAAAAMBAAAAAAAUAAAAAAAAAAAAAAAA,""" """,""" """
None,BwASAQAFAQAAAAAZAAABAAAAAAAAAAAA,""" """,""" """
None,CAASAQABAAAAAAAAAAABAGQAAwAsAQAA,""" """,""" """
None,CQAAAAABAAAAAAAUAAAAAAAAAAAAAAAA,""" """,""" """
None,CgASIQEEAw5wZBQPFAABAGQAAAAKAAAA,"""磐岩尖刃""","""攻擊：單體・10％石化\n自大地隆起尖銳的岩石。10％機率造成「石化」狀態。"""
None,CgASIQEFAwBxZBQPPAADAHgAAAAAAAAA,"""地震波""","""攻擊：中圓\n在一定範圍內引發小型地震。"""
None,CgASIQEFAw5yZBkPUAACANwAAAAUAAAA,"""蛇妖吐息""","""攻擊：小圓・20％石化\n噴出石化的瘴氣，20％機率造成「石化」狀態。"""
None,CgASIQEMAwBzZBkUeAAEAPoAAAAAAAAA,"""大地翻騰""","""攻擊：直線（指定地點）\n隆起的巨岩割裂大地，刺穿敵人。"""
None,CgASIQELAwB0ZB4UyAAFACwBAAAAAAAA,"""世界之樹""","""攻擊：大圓（指定地點）\n擁有意志的大樹之根，可刺穿大範圍的敵人。"""
None,CgASIQENAwB1ZCMUuAFkAJABAAAAAAAA,"""巨神狂怒震""","""攻擊：全體\n召喚出地底的岩之大巨神，將大地粉碎。"""
Empty,,,
None,CgASIQENAAAAZDIAAABkAAQACAAAAAAA,""" """,""" """
None,CgDCIQENyAAAZDIAyABkAAAAAAAAAAAA,"""防壁之符文""","""效果範圍：隊伍全員\n發動時完全防禦物理攻擊／普通攻擊・戰技可回復傷害值20％HP。"""
None,CgASIQIEAwV6ZBQPFAABAGQAAAAKAAMA,"""冰封之刃""","""攻擊：單體・10％凍結\n釋放尖銳的冰之刃，10％機率造成「凍結」狀態。"""
Repeat,,,
None,CgASIQIFAwB7ZBQPPAACAKAAAAAAAAAA,"""碧藍露珠""","""攻擊：小圓\n將敵人封閉在水滴中，並將之引爆。"""
None,CgASIQIFAwV8ZBQUWgADAL4AAAAUAAMA,"""冰之錘""","""攻擊：中圓・20％凍結\n從敵人的頭上落下冰柱，20％機率造成「凍結」狀態。"""
None,CgASIQIMAwB9ZBQUggADAAQBAAAAAAAA,"""水流轟擊""","""攻擊：直線（指定地點）\n擊出高壓水流，將敵人沖走。"""
None,CgASIQIFAwV+ZB4UoAADAAQBAAAeAAMA,"""鑽石星塵""","""攻擊：中圓・30％凍結\n生成強烈的冷氣，30％機率造成「凍結」狀態。"""
None,CgASIQINAwB/ZB4U3ABkACwBAAAAAAAA,"""滅世洪水""","""攻擊：全體\n引發巨大海嘯，將全部敵人吞噬。"""
None,CgASIQINAwWAZCMUzAFkAHIBAAAPAAMA,"""滅世冥寒災""","""攻擊：全體・15％凍結\n召喚散發著絕對零度的冰之魔王，15％機率造成「凍結」狀態。"""
None,CgASIQINAAAAZDIAAABkAAQACAAAAAAA,""" """,""" """
None,CgDCIQINyAABZDIAyABkAAAAAAAAAAAA,"""慈愛之符文""","""效果範圍：隊伍全員\n發動時HP回復50％／所受一切傷害值減半。"""
None,CgASIQMEAwaCZBQPFAABAGkAAAAKAAMA,"""火焰箭""","""攻擊：單體・10％炎傷\n擊出猛烈燃燒的火球。10％機率造成「炎傷」狀態。"""
Repeat,,,
None,CgASIQMFAwCDZBkPPAADAIwAAAAAAAAA,"""灼熱之波""","""攻擊：中圓\n用高熱覆蓋地表，將敵人燃燒殆盡。"""
None,CgASIQMEAwaEZBkPUAABAPoAAAAeAAMA,"""熔岩之息""","""攻擊：單體・30％炎傷\n將壓縮的熔岩炸裂，30％機率造成「炎傷」狀態。"""
None,CgASIQMFAwaFZB4PtAAFAAQBAAAUAAMA,"""蝶火亂舞""","""攻擊：大圓・20％炎傷\n產生無數火蝶飛舞，20％機率造成「炎傷」狀態。"""
None,CgASIQMEAwCGZCMUjAABAJABAAAAAAAA,"""赤紅射線""","""攻擊：單體\n射下超高熱光線，將敵人燃為灰燼。"""
None,CgASIQMNAwaHZCMUzAFkAJoBAAAPAAMA,"""龍皇煉獄火""","""攻擊：全體・15％炎傷\n召喚霸王炎龍，將戰場燒成灰燼，15％機率造成「炎傷」狀態。"""
Empty,,,
None,CgASIQMNAAAAZDIAAABkAAQACAAAAAAA,""" """,""" """
None,CgDCIQMNyAACZDIAyABkAAAAAAAAAAAA,"""勝利之符文""","""效果範圍：隊伍全員\n發動時CP回復50／普通攻擊・戰技造成的傷害值提升至1.5倍。"""
None,CgASIQQEAweOZA8PFAABAF8AAAAKAAUA,"""紫電乍現""","""攻擊：單體・10％封技\n從上空落下雷電，10％機率造成「封技」狀態。"""
Repeat,,,
None,CgASIQQMAwCPZA8PMgACAIwAAAAAAAAA,"""風之鐮""","""攻擊：直線（指定地點）\n製造真空鐮擊，切裂敵人。"""
None,CgASIQQLAwCQZBQPWgADAK8AAAAAAAAA,"""風之領域""","""攻擊：中圓（指定地點）\n捲起帶有石塊的猛烈龍捲風。"""
None,CgASIQQFAweRZBQPZAACAA4BAAAeAAUA,"""閃電光束""","""攻擊：小圓・30％封技\n操控天氣，落下蒼藍的閃電，30％機率造成「封技」狀態。"""
None,CgASIQQLAweSZBkUBAEFABgBAAAUAAUA,"""雷光龍卷""","""攻擊：大圓（指定地點）・封技20％\n產生帶有雷光的巨大龍捲風。20％機率造成「封技」狀態。 """
None,CgASIQQNAweTZB4UzAFkAHwBAAAPAAUA,"""終焉聖雷槍""","""攻擊：全體・15％封技\n召喚洶湧的暴風神槍，將敵人貫穿，15％機率造成「封技」狀態。"""
Empty,,,
None,CgASIQQNAAAAZDIAAABkAAQACAAAAAAA,""" """,""" """
None,CgDCIQQNyAADZDIAyABkAAAAAAAAAAAA,"""暴風之符文""","""效果範圍：隊伍全員\n發動時獲得魔法反射效果／魔法攻擊造成的傷害值提升至1.5倍。"""
None,CgASIQUEAw2YZA8PHgABAG4AAAAKAAUA,"""心靈之霞""","""攻擊：單體・10％昏厥\n釋放出震動時空的波動，10％機率造成「昏厥」狀態。"""
Repeat,,,
None,CgASIQUFAw+aZBQPeAADAMgAAAAKAAAA,"""致命螺旋""","""攻擊：中圓・10％無法戰鬥\n煉獄之魔爪將敵人撕至四分五裂，10％機率造成「無法戰鬥」狀態。"""
None,CgASIQUFAxmbZBkUBAEFABgBAABkAAUA,"""暗影偽典""","""攻擊：大圓・HP吸收\n召喚漆黑的魔劍，將造成傷害值的5％轉化為自身的HP。"""
None,CgASIQUMAw+ZZBQPRgACAJYAAAAUAAAA,"""災厄鐮刃""","""攻擊：直線（指定地點）・20％無法戰鬥\n釋放切裂時空的漆黑之刃，20％機率造成「無法戰鬥」狀態。"""
None,CgASIQUNAwCcZB4UkAFkAF4BAAAAAAAA,"""墮天使暗翼""","""攻擊：全體\n展開漆黑的巨大雙翼，將大地上的一切蹂躪殆盡。"""
Empty,,,
Empty,,,
None,CgASIQUNAAAAZDIAAABkAAQACAAAAAAA,""" """,""" """
None,CgCCIQUNyDYEZDIAyABkAAAAAAAAAAAA,"""剎那之符文""","""效果範圍：隊伍全員\n發動時ＡＴ加速／所有普通攻擊・戰技附帶延遲效果。"""
None,CgASIQYLAy6iZBkPWgAFAHgAAAD+/wMA,"""黑暗物質""","""攻擊：大圓（指定地點）・吸引・MOV-2\n利用高壓空間壓迫敵人的軀體，並向中心吸扯。"""
Repeat,,,
None,CgASIQYEAwChZBkPKAABAKAAAAAAAAAA,"""光子射擊""","""攻擊：單體\n擊射出經過極度壓縮的光子彈。"""
None,CgASIQYMAwClZCMU3AADACwBAAAAAAAA,"""終末災禍""","""攻擊：直線（指定地點）\n放射出冷酷無情的閃光，使敵人與空間一同崩壞。"""
None,CgASIQYLA0+kZBkPqgAGANIAAADn/wMA,"""金耀輝環""","""攻擊：大圓（指定地點）・DEF/ADF-25％\n召喚出七顆閃耀的魔法球，將大範圍內的敵人擊潰。"""
None,CgASIQYNAwCmZCMUuAFkAJABAAAAAAAA,"""天劫輪回光""","""攻擊：全體\n開啟時空的裂縫，將一切吞噬毀滅。"""
Empty,,,
Empty,,,
None,CgASIQYNAAAAZDIAAABkAAQACAAAAAAA,""" """,""" """
None,CgDCIQYNyAAFZDIAyABkAAAAAAAAAAAA,"""震天之符文""","""效果範圍：隊伍全員\n發動時獲得完全防禦效果／魔法攻擊可回復傷害值20％HP。"""
None,CgASIQcEAwusZBkPIwABAIwAAAAKAAMA,"""混沌利刃""","""攻擊：單體・10％混亂\n以擾亂認知能力的銀之刃貫穿敵人，10％機率造成「混亂」狀態。"""
Repeat,,,
None,CgASIQcFAwmuZB4PyAAFAMgAAABkAAUA,"""虛幻之塔""","""攻擊：大圓・100％黑暗\n從幻影之塔上降下光之箭，100％機率造成「黑暗」狀態。"""
None,CgASIQcNAwCvZB4UBAFkABgBAAAAAAAA,"""天國之門""","""攻擊：全體\n開啟天國之門，以制裁之光將魔物清掃一空。"""
None,CgASIQcFAwutZBkPeAADAKAAAAAZAAMA,"""銀夜之棘""","""攻擊：中圓・25％混亂\n降下使人瘋狂的銀之刃，25％機率造成「混亂」狀態。"""
None,CgASIQcNAwCwZCMUwgFkAHwBAAAAAAAA,"""幻銀方舟炮""","""攻擊：全體\n召喚巨大的銀色方舟，全炮台開火，將大地上的一切殲滅。"""
Empty,,,
Empty,,,
None,CgASIQcNAAAAZDIAAABkAAQACAAAAAAA,""" """,""" """
None,CgCCIQcNyAAGZDIAyABkAAAAAAAAAAAA,"""幻影之符文""","""效果範圍：隊伍全員\n發動時獲得匿蹤效果／EP消耗量減少50％。"""
None,CgDCIQEFNAAyZAoZUAAFAA8ACQAAAAAA,"""大地之癒""","""回復：大圓・一定回合內回復HP\n利用大地的力量提高自癒能力。一定回合內之HP自動回復。"""
Repeat,,,
None,CgDCIQEEKQAzZAUUCgABABkABQAAAAAA,"""結晶防護""","""輔助：單體・DEF+25％\n獲得大地守護。一定回合內DEF+25％。"""
None,CgDCIQEFKQA0ZAUUHgADABkABQAAAAAA,"""結晶防護・複""","""輔助：中圓・DEF+25％\n給予範圍內夥伴大地守護。一定回合內DEF+25％。"""
None,CgDCIQEFOQA1ZA8ejAACAAAAAQAAAAAA,"""剛石守護""","""輔助：小圓・物理完全防禦\n展開金剛石結界，完全防禦一次物理攻擊。"""
Empty,,,
Empty,,,
Empty,,,
Empty,,,
None,CgDCIQMEKAA8ZAoZCgABABkAAwAAAAAA,"""強音之力""","""輔助：單體・STR+25％\n得到來自火焰的守護，一定回合內STR+25％。"""
None,CgDCIQMFKAA9ZAwZHgADABkAAwAAAAAA,"""強音之力・複""","""輔助：中圓・STR+25％\n給予範圍內夥伴火焰守護，一定回合內STR+25％。"""
None,CgDCIQMFNQA+ZA8Z8AADAAoACQAAAAAA,"""振奮之激""","""回復：中圓・一定回合內CP上升\n激起範圍內夥伴的鬥志。一定回合內CP自動上升。"""
Empty,,,
Empty,,,
Empty,,,
Empty,,,
Empty,,,
None,CgDDIQQFGwAQZAoUWgACAMIBFAAAAAAA,"""生命之息""","""回復：小圓・HP中回復\n以滌淨生命的氣息之力中幅回復範圍內夥伴的HP。"""
None,CgDDIQQFGwARZAwZBAEFALwCFAAAAAAA,"""聖靈之息""","""回復：大圓・HP大回復\n以滌淨生命的神聖氣息之力大幅回復範圍內夥伴的HP。"""
None,CgDCIQQFLgBBZAUZCgADAAQABQAAAAAA,"""風之穿梭""","""輔助：中圓・MOV+4\n以風精靈之力使移動距離飛躍提昇。一定回合內MOV+4。"""
None,CgDCIQQFLwBCZAUZRgAFAAAAAAAAAAAA,"""大治癒術""","""回復：大圓・解除「所有異常狀態」\n解除範圍內我方「無法戰鬥」外的異常狀態。"""
None,CgASIQQNCgBDZAUZWgBkADIABQAAAAAA,"""魅惑妖歌""","""妨礙：全體・50％睡眠\n響起精靈之歌，將敵人誘入深度睡眠，50％機率造成「睡眠」狀態。"""
Empty,,,
Empty,,,
Empty,,,
None,CgASIQUFLABGZAoZKAADAOf/AwAAAAAA,"""時間減速""","""妨礙：中圓・SPD-25％\n減慢範圍內的時間流動。一定回合內SPD-25％。"""
None,CgDCIQUFLABHZAoZPAADABkAAwAAAAAA,"""時間驅動""","""輔助：中圓・SPD+25％\n加快範圍內的時間流動。一定回合內SPD+25％。"""
None,CgASIQUFLC5IZA8ZUAAFAM7/AwD9/wMA,"""災難之爪""","""妨礙：大圓・MOV-3・SPD-50％\n以煉獄魔爪橫掃敵人腿部。一定回合內MOV-3・SPD-50％。"""
Empty,,,
Empty,,,
Empty,,,
Empty,,,
Empty,,,
None,CgDCIQYFKitNZAUZKAAFABkABQAZAAMA,"""魔導祝福""","""輔助：大圓・ATS/ADF+25％\n給予範圍內夥伴祝福。一定回合內ATS/ADF+25％。"""
None,CgDCIQYEOwBOZAwZKAADAAAAAQAAAAAA,"""A-反射屏障""","""輔助：單體・魔法反射\n展開能反射一次導力魔法的魔導屏障。"""
None,CgDjIQYFMwASZA8eWAIHAGQAAAAAAAAA,"""聖靈復甦""","""回復：大圓・解除「無法戰鬥」・完全回復HP\n解除範圍內我方的「無法戰鬥」，並完全回復HP。"""
None,CgDCIQYNMABMZAUZCgBkAAAAAAAAAAAA,"""聖潔方舟""","""回復：全體・解除「能力降低」\n回復我方全體降低的能力值到正常值。"""
Empty,,,
Empty,,,
Empty,,,
Empty,,,
None,CgDCIQcEKClRZAwZHgABABkAAwAZAAMA,"""神聖祝福""","""輔助：單體・STR/DEF+25％\n強化１名我方攻防能力。一定回合內STR/DEF+25％。"""
None,CgDCIQcEOABTZAwZZAABAAAAAgAAAAAA,"""虛影領域""","""輔助：單體・匿蹤\n折射光線借以藏身。一定回合內維持「匿蹤」狀態。"""
None,CgASIQcFTQBUZA8ZRgAFABkAAAAAAAAA,"""狂亂之月""","""妨礙：大圓・混亂（等級差影響成功率）\n展現月之幻影，使敵人陷入「混亂」狀態。"""
None,CgDCIQcNKClSZA8ZeABkABkAAwAZAAMA,"""星之守護""","""輔助：全體・STR/DEF+25％\n強化我方全員的攻守能力，一定回合內STR/DEF+25％。"""
None,CgASIQcEUQAeZAUZCgABAAAAAAAAAAAA,"""情報解析""","""輔助：單體\n分析並取得敵人的情報。"""
Empty,,,
Empty,,,
Empty,,,
None,CgDDIQIEGyAKZAMUFAABACwBFAAAAAAA,"""回復術""","""回復：單體・HP小回復・解除「炎傷」\n以治癒生命的水之力小幅回復１名夥伴的HP。"""
None,CgDDIQIEGyALZAQUPAABAMIBFAAAAAAA,"""中回復術""","""回復：單體・HP中回復・解除「炎傷」\n以治癒生命的水之力中幅回復１名夥伴的HP。"""
None,CgDDIQIEGyAMZAYZjAABALwCFAAAAAAA,"""大回復術""","""回復：單體・HP大回復・解除「炎傷」\n以治癒生命的水之力大幅回復１名夥伴的HP。"""
None,CgDCIQIFLQA2ZAUejAADADIAAwAAAAAA,"""幻影水壁""","""輔助：中圓・迴避率+50％\n借助水之護壁，使對象更易迴避攻擊，一定回合內迴避率+50％。"""
None,CgASIQIFCCs3ZAUePAAFAGQABQDn/wUA,"""鈷藍之珠""","""妨礙：大圓・100％封魔\n一定回合之內封印敵人的魔法，且使對方ADF-25％。"""
None,CgDjIQIEMgAPZAoZoAABAMIBFAAAAAAA,"""聖靈術""","""回復：單體・解除「無法戰鬥」・HP中回復\n解除１名夥伴的「無法戰鬥」狀態，並中幅回復HP。"""
None,CgDjIQIEMgAOZAUUMgABACwBFAAAAAAA,"""復活術""","""回復：單體・解除「無法戰鬥」・HP小回復\n解除１名夥伴的「無法戰鬥」狀態，並小幅回復HP。"""
None,CgDDIQIEQiANZAgZ3AABAGQAGQAAAAAA,"""全面回復術""","""回復：單體・HP全回復・解除「炎傷」\n以治癒生命的水之力完全回復一名夥伴的HP。"""
Empty,,,
Empty,,,
Empty,,,
None,CgASIQANAAAAZAAAAAAAAAAAAAAAAAAA,""" """,""" """
