Id,Data,Unk,Text
1,kQE+AQEARgEBAEcBAQBKAQEALgEBAAAAAAAAAAAAAAAAAAEAAgABAAAA,10,"""回復HP80％\nSTR+25％ DEF+25％\n回復HP80％\nSTR+10％ DEF+10％\n CP+10\n「一定回合內回復HP」效果\n"""
2,lAE1AQEAOgEBAEQBAQAsAQEAMgEBAAAAAAAAAAAAAAAAAAEAAgABAAAA,10,"""回復HP100％\n解除「所有異常狀態」\n回復HP40％\n解除「所有異常狀態」\n回復HP10％\n「一定回合內回復CP」效果\n"""
3,lwE0AQEAOQEBAD0BAQBBAQEAAAAAAAAAAAAAAAAAAAAAAAEAAgABAAAA,10,"""回復HP50％\n解除「封技・封魔」\n回復HP30％\n解除「封技・封魔」\n回復HP10％\n解除「封技・封魔」\n"""
4,mgE5AQEAOwEBAD0BAQBJAQEALAEBAAAAAAAAAAAAAAAAAAEAAQABAAAA,10,"""回復HP50％ STR+50％\n\n回復HP30％ STR+25％\n\n回復HP10％ MOV+5\n\n"""
5,nQE2AQEARQEBAEYBAQBHAQEASQEBAAAAAAAAAAAAAAAAAAEAAQAAAAEA,10,"""回復HP50％ DEF+50％\n解除「凍結」\n回復HP30％ DEF+25％\n解除「凍結」\n回復HP10％ SPD+25％\n\n"""
6,oAE1AQEANgEBADkBAQA6AQEAPQEBAEkBAQAsAQEALgEBAAEAAQAAAAEA,10,"""回復HP50％ CP+80\n\n回復HP40％ CP+40\n\n「CP+100」\n或「瀕死」\n"""
7,owE2AQEANwEBADgBAQA8AQEASgEBAC0BAQAuAQEAAAAAAAEAAQAAAAEA,10,"""回復HP60％ CP+60\n\n回復HP50％ CP+30\n\n「CP+200」\n或「CP0＆瀕死」\n"""
8,pgE7AQEAPgEBAEoBAQAAAAAAAAAAAAAAAAAAAAAAAAAAAAEAAAACAAEA,10,"""回復HP30％\n解除「無法戰鬥」\n回復HP10％\n解除「無法戰鬥」\n【攻擊】直線（貫穿）\n30％無法戰鬥\n"""
9,qQE0AQEARgEBAEgBAQAvAQEAAAAAAAAAAAAAAAAAAAAAAAEAAAABAAEA,10,"""回復HP50％ CP+20\n解除「混亂」\n回復HP20％ CP+10\n解除「混亂」\n【攻擊】中圓\n50％混亂\n"""
10,rAE5AQEAPgEBAD8BAQBAAQEAQQEBAAAAAAAAAAAAAAAAAAEAAAABAAEA,10,"""回復HP50％\n解除「石化」\n回復HP20％\n解除「石化」\n【攻擊】中圓\n50％石化\n"""
11,rwE+AQEAQAEBAEYBAQBIAQEALAEBAC0BAQAxAQEAAAAAAAEAAgABAAAA,10,"""回復HP40％ CP+95\n\n回復HP20％ CP+45\n\n回復HP10％ DEF+50％\n\n"""
12,sgE6AQEAOwEBAD4BAQBAAQEASAEBAEoBAQAtAQEAMAEBAAEAAgABAAAA,10,"""回復HP70％ CP+50\n\n回復HP50％ CP+25\n\n回復HP10％ 迴避率+50％\n\n"""
13,tQE4AQEAPgEBAEUBAQBJAQEAAAAAAAAAAAAAAAAAAAAAAAEAAQABAAAA,10,"""回復HP30％\n解除「昏厥・中毒」\n回復HP20％\n解除「昏厥・中毒」\n回復HP10％ ATS+50％\n\n"""
14,uAE0AQEAQQEBAEQBAQBFAQEARwEBAC0BAQAAAAAAAAAAAAAAAQABAAIA,10,"""回復HP80％\n解除「所有異常狀態」\n回復HP40％\n解除「所有異常狀態」\n【攻擊】中圓\n100％隨機陷入異常狀態\n"""
15,uwE3AQEAOAEBAD8BAQAuAQEAAAAAAAAAAAAAAAAAAAAAAAEAAQAAAAEA,10,"""回復HP60％ CP+20\n解除「能力降低」\n回復HP40％\n解除「能力降低」\n回復HP10％\n「魔法反彈」效果\n"""
16,vgE5AQEAOgEBAD0BAQBGAQEALgEBAAAAAAAAAAAAAAAAAAEAAQAAAAEA,10,"""回復HP60％\n解除「睡眠・混亂・昏厥」\n回復HP40％\n解除「睡眠・混亂・昏厥」\n回復HP10％\nSTR+25％ SPD+25％\n"""
17,wQE8AQEAQgEBAEMBAQA+AQEAPwEBAC8BAQAAAAAAAAAAAAIAAAABAAIA,10,"""回復HP50％\nATS+25％ 命中率+25％\n回復HP30％\nATS+25％\n回復HP10％\nATS+50％ 命中率+50％\n"""
18,xAE3AQEAPAEBAEEBAQAyAQEAAAAAAAAAAAAAAAAAAAAAAAIAAAABAAIA,10,"""回復HP40％ ADF+25％\n迴避率+25％\n回復HP20％ ADF+25％\n\n回復HP10％ ADF+50％\n迴避率+50％\n"""
