Id,Data,Text
0,UCFwAFEhcAAAIQAwAAAAAA==,"""○瓦魯多"""
1,UCJwAFEicAAAIgAwAAAAAA==,"""○加爾西亞（終章）"""
200,UCJwAFEicAABIgAwAAAAAA==,"""○加爾西亞（３章）"""
201,UCJwAFEicAAAKAAwAAAAAA==,"""○銀"""
2,UCNwAFEjcAAAIwAwAAAAAA==,"""△阿奈斯特"""
3,UCBwAFEgcAAAIAAwAAAAAA==,"""△約亞西姆(司祭)"""
4,UAhzAFEIcwAACAMwAAAAAA==,"""△Ｓ劍蛇幫Ａ"""
5,UBdzAFEXcwAAFwMwAAAAAA==,"""△Ｓ劍蛇幫Ｂ"""
6,UAlzAFEJcwAACQMwAAAAAA==,"""△聖約幫Ａ"""
7,UBhzAFEYcwAAGAMwAAAAAA==,"""△聖約幫Ｂ"""
8,UBBzAFEQcwAAEAMwAAAAAA==,"""△黑手黨Ａ"""
9,UBFzAFERcwAAEQMwAAAAAA==,"""△黑手黨Ｂ"""
10,UBlzAFEZcwAAGQMwAAAAAA==,"""△黑手黨Ｃ"""
11,UBJzAFEScwAAEgMwAAAAAA==,"""△警備隊員Ａ"""
12,UBNzAFETcwAAEwMwAAAAAA==,"""△警備隊員Ｂ"""
13,UCZzAFEmcwAAJgMwAAAAAA==,"""△女性警備隊員"""
15,UAKWAFAClgAAAAYwAAAAAA==,"""600飛行貓izikuri"""
16,UAKWAFAClgAAAQYwAAAAAA==,"""601刺針小鼠"""
17,UAKWAFAClgAAAgYwAAAAAA==,"""602黑暗無花果"""
18,UAKWAFAClgAAAwYwAAAAAA==,"""603姬蠊"""
19,UAKWAFAClgAABAYwAAAAAA==,"""604黑暗膠黏體"""
20,UAKWAFAClgAABQYwAAAAAA==,"""605故障機體Ｂ"""
21,UAKWAFAClgAABgYwAAAAAA==,"""606蝙蝠犬鼠"""
22,UAKWAFAClgAABwYwAAAAAA==,"""607硬岩龍"""
23,UAKWAFAClgAACAYwAAAAAA==,"""608扭扭怪"""
24,UAKWAFAClgAACQYwAAAAAA==,"""609黑遲緩蟲"""
25,UAKWAFAClgAAEAYwAAAAAA==,"""610鋼鐵飛羽鳥"""
26,UAKWAFAClgAAEQYwAAAAAA==,"""611栗子雙殼獸"""
