W,H,cW,cH,Id,File,Text
512,512,480,272,65535,"""extra/c_chr000""","""是羅伊德哦。"""
512,512,480,272,65535,"""extra/c_chr001""","""是艾莉哦。"""
512,512,480,272,65535,"""extra/c_chr002""","""是緹歐哦。"""
512,512,480,272,65535,"""extra/c_chr003""","""是蘭迪哦。"""
512,512,480,272,65535,"""extra/c_chr004""","""是瓦奇哦。"""
512,512,480,272,65535,"""extra/c_chr005""","""是諾艾兒哦。"""
512,512,480,272,65535,"""extra/c_chr006""","""是達德利哦。"""
512,512,480,272,65535,"""extra/c_chr007""","""是銀哦。"""
512,512,480,272,65535,"""extra/c_chr008""","""是艾絲蒂爾哦。"""
512,512,480,272,65535,"""extra/c_chr009""","""是約書亞哦。"""
512,512,480,272,65535,"""extra/c_chr010""","""是課長哦。"""
512,512,480,272,65535,"""extra/c_chr011""","""是琪雅哦。"""
512,512,480,272,65535,"""extra/c_chr012""","""是賽特哦。"""
512,512,480,272,65535,"""extra/c_chr013""","""是賽西兒哦。"""
512,512,480,272,65535,"""extra/c_chr014""","""是小滴的爸爸哦。"""
512,512,480,272,65535,"""extra/c_chr015""","""是小滴哦。"""
512,512,480,272,65535,"""extra/c_chr016""","""是瓦魯多哦。"""
512,512,480,272,65535,"""extra/c_chr017""","""是伊莉雅哦。"""
512,512,480,272,65535,"""extra/c_chr018""","""是莉夏哦。"""
512,512,480,272,65535,"""extra/c_chr019""","""是芙蘭哦。"""
512,512,480,272,65535,"""extra/c_chr020""","""是索妮亞副司令哦。"""
512,512,480,272,65535,"""extra/c_chr021""","""是格蕾絲哦。"""
512,512,480,272,65535,"""extra/c_chr022""","""是伊安律師哦。"""
512,512,480,272,65535,"""extra/c_chr023""","""是約納哦。"""
512,512,480,272,65535,"""extra/c_chr024""","""是約亞西姆副教授哦。"""
512,512,480,272,65535,"""extra/c_chr025""","""是麥克道爾爺爺哦。"""
512,512,480,272,65535,"""extra/c_chr026""","""是阿奈斯特哦。"""
512,512,480,272,65535,"""extra/c_chr027""","""是哈爾特曼議長哦。"""
512,512,480,272,65535,"""extra/c_chr028""","""是迪塔總裁哦。"""
512,512,480,272,65535,"""extra/c_chr029""","""是貝爾哦。"""
512,512,480,272,65535,"""extra/c_chr030""","""是胖胖的人哦。"""
512,512,480,272,65535,"""extra/c_chr031""","""是魁武的人哦。"""
512,512,480,272,65535,"""extra/c_chr032""","""是曹哦。"""
512,512,480,272,65535,"""extra/c_chr033""","""是蕾恩哦。"""
512,512,480,272,65535,"""extra/c_chr034""","""是霧香哦。"""
512,512,480,272,65535,"""extra/c_chr035""","""是雷克多哦。"""
512,512,480,272,65535,"""extra/c_chr036""","""是哈羅德哦。"""
512,512,480,272,65535,"""extra/c_chr037""","""是索菲亞哦。"""
512,512,480,272,65535,"""extra/c_chr038""","""是柯林哦。"""
512,512,480,272,65535,"""extra/c_chr039""","""是約魯古哦。"""
512,512,480,272,0,"""extra/c_chr050""","""羅伊德２"""
512,512,480,272,0,"""extra/c_chr051""","""羅伊德３"""
512,512,480,272,0,"""extra/c_chr052""","""羅伊德４"""
512,512,480,272,1,"""extra/c_chr053""","""艾莉２"""
512,512,480,272,2,"""extra/c_chr054""","""緹歐２"""
512,512,480,272,2,"""extra/c_chr055""","""緹歐３"""
512,512,480,272,3,"""extra/c_chr056""","""蘭迪２"""
512,512,480,272,4,"""extra/c_chr057""","""瓦奇２"""
512,512,480,272,11,"""extra/c_chr058""","""琪雅２"""
512,512,480,272,13,"""extra/c_chr059""","""賽西兒２"""
512,512,480,272,15,"""extra/c_chr060""","""小滴２"""
512,512,480,272,17,"""extra/c_chr061""","""伊莉雅２"""
512,512,480,272,18,"""extra/c_chr062""","""莉夏２"""
512,512,480,272,5,"""extra/c_chr063""","""諾艾兒２"""
512,512,480,272,19,"""extra/c_chr064""","""櫃台小姐芙蘭２"""
512,512,480,272,25,"""extra/c_chr065""","""麥克道爾市長２"""
512,512,480,272,26,"""extra/c_chr066""","""秘書阿奈斯特２"""
512,512,480,272,24,"""extra/c_chr067""","""約亞西姆副教授２"""
512,512,480,272,24,"""extra/c_chr068""","""約亞西姆副教授３"""
0,0,0,0,0,"""""",""""""
