W,H,cW,cH,File,Text
512,256,480,256,"""visual/c_vis008""","""要閱覽『回想０１』嗎？{0x0A}"""
512,256,480,256,"""visual/c_vis009""","""要閱覽『回想０２』嗎？{0x0A}"""
512,256,480,256,"""visual/c_vis010""","""要閱覽『回想０３』嗎？{0x0A}"""
512,256,480,256,"""visual/c_vis020""","""要閱覽『回想０４』嗎？{0x0A}"""
512,256,480,256,"""visual/c_vis058""","""要閱覽『回想０５』嗎？{0x0A}"""
512,256,480,256,"""visual/c_vis059""","""要閱覽『回想０６』嗎？{0x0A}"""
512,256,480,256,"""visual/c_vis060""","""要閱覽『回想０７』嗎？{0x0A}"""
512,256,480,256,"""visual/c_vis061""","""要閱覽『回想０８』嗎？{0x0A}"""
512,256,480,256,"""visual/c_vis088""","""要閱覽『回想０９』嗎？{0x0A}"""
512,256,480,256,"""visual/c_vis089""","""要閱覽『回想１０』嗎？{0x0A}"""
512,256,480,256,"""visual/c_vis090""","""要閱覽『回想１１』嗎？{0x0A}"""
512,256,480,256,"""visual/c_vis091""","""要閱覽『回想１２』嗎？{0x0A}"""
256,256,256,256,"""visual/c_vis000""","""要閱覽『事件０１』嗎？{0x0A}"""
256,256,256,256,"""visual/c_vis011""","""要閱覽『事件０２』嗎？{0x0A}"""
256,256,256,256,"""visual/c_vis001""","""要閱覽『事件０３』嗎？{0x0A}"""
256,256,256,256,"""visual/c_vis002""","""要閱覽『事件０４』嗎？{0x0A}"""
256,256,256,256,"""visual/c_vis003""","""要閱覽『事件０５』嗎？{0x0A}"""
256,256,256,256,"""visual/c_vis004""","""要閱覽『事件０６』嗎？{0x0A}"""
256,256,256,256,"""visual/c_vis005""","""要閱覽『事件０７』嗎？{0x0A}"""
512,256,480,256,"""visual/c_vis006""","""要閱覽『事件０８』嗎？{0x0A}"""
256,256,256,256,"""visual/c_vis030""","""要閱覽『事件０９』嗎？{0x0A}"""
256,256,256,256,"""visual/c_vis034""","""要閱覽『事件１０』嗎？{0x0A}"""
256,256,256,256,"""visual/c_vis041""","""要閱覽『事件１１』嗎？{0x0A}"""
256,256,256,256,"""visual/c_vis062""","""要閱覽『事件１２』嗎？{0x0A}"""
256,256,256,256,"""visual/c_vis063""","""要閱覽『事件１３』嗎？{0x0A}"""
256,256,256,256,"""visual/c_vis087""","""要閱覽『事件１４』嗎？{0x0A}"""
256,256,256,256,"""visual/c_vis092""","""要閱覽『事件１５』嗎？{0x0A}"""
256,256,256,256,"""visual/c_vis093""","""要閱覽『事件１６』嗎？{0x0A}"""
256,256,256,256,"""visual/c_vis176""","""要閱覽『事件１７』嗎？{0x0A}"""
512,256,480,256,"""visual/c_vis100""","""要閱覽『事件１８』嗎？{0x0A}"""
512,256,480,256,"""visual/c_vis101""","""要閱覽『事件１９』嗎？{0x0A}"""
512,256,480,256,"""visual/c_vis115""","""要閱覽『事件２０』嗎？{0x0A}"""
512,256,480,256,"""visual/c_vis127""","""要閱覽『事件２１』嗎？{0x0A}"""
256,256,480,256,"""visual/c_vis104""","""要閱覽『事件２２』嗎？{0x0A}"""
512,256,480,256,"""visual/c_vis112""","""要閱覽『事件２３』嗎？{0x0A}"""
512,256,480,256,"""visual/c_vis105""","""要閱覽『事件２４』嗎？{0x0A}"""
512,256,480,256,"""visual/c_vis106""","""要閱覽『事件２５』嗎？{0x0A}"""
512,256,480,256,"""visual/c_vis107""","""要閱覽『事件２６』嗎？{0x0A}"""
512,256,480,256,"""visual/c_vis177""","""要閱覽『事件２７』嗎？{0x0A}"""
512,256,480,256,"""visual/c_vis043""","""要閱覽『電腦交戰０１』嗎？{0x0A}"""
512,256,480,256,"""visual/c_vis044""","""要閱覽『電腦交戰０２』嗎？{0x0A}"""
512,256,480,256,"""visual/c_vis045""","""要閱覽『電腦交戰０３』嗎？{0x0A}"""
512,256,480,256,"""visual/c_vis046""","""要閱覽『電腦交戰０４』嗎？{0x0A}"""
512,256,480,256,"""visual/c_vis047""","""要閱覽『電腦交戰０５』嗎？{0x0A}"""
512,256,480,256,"""visual/c_vis048""","""要閱覽『電腦交戰０６』嗎？{0x0A}"""
512,256,480,256,"""visual/c_vis049""","""要閱覽『電腦交戰０７』嗎？{0x0A}"""
512,256,480,256,"""visual/c_vis116""","""要閱覽『電腦交戰０８』嗎？{0x0A}"""
512,256,480,256,"""visual/c_vis117""","""要閱覽『電腦交戰０９』嗎？{0x0A}"""
512,256,480,256,"""visual/c_vis118""","""要閱覽『電腦交戰１０』嗎？{0x0A}"""
512,256,480,256,"""visual/c_vis180""","""要閱覽『克洛斯貝爾百景０１』嗎？{0x0A}"""
512,256,480,256,"""visual/c_vis181""","""要閱覽『克洛斯貝爾百景０２』嗎？{0x0A}"""
512,256,480,256,"""visual/c_vis182""","""要閱覽『克洛斯貝爾百景０３』嗎？{0x0A}"""
512,256,480,256,"""visual/c_vis183""","""要閱覽『克洛斯貝爾百景０４』嗎？{0x0A}"""
512,256,480,256,"""visual/c_vis184""","""要閱覽『克洛斯貝爾百景０５』嗎？{0x0A}"""
512,256,480,256,"""visual/c_vis185""","""要閱覽『克洛斯貝爾百景０６』嗎？{0x0A}"""
512,256,480,256,"""visual/c_vis186""","""要閱覽『克洛斯貝爾百景０７』嗎？{0x0A}"""
512,256,480,256,"""visual/c_vis187""","""要閱覽『克洛斯貝爾百景０８』嗎？{0x0A}"""
512,256,480,256,"""visual/c_vis188""","""要閱覽『克洛斯貝爾百景０９』嗎？{0x0A}"""
256,256,256,256,"""visual/c_vis164""","""要閱覽『家飾、雜貨０１』嗎？{0x0A}"""
256,256,256,256,"""visual/c_vis165""","""要閱覽『家飾、雜貨０２』嗎？{0x0A}"""
256,256,256,256,"""visual/c_vis166""","""要閱覽『家飾、雜貨０３』嗎？{0x0A}"""
256,256,256,256,"""visual/c_vis167""","""要閱覽『家飾、雜貨０４』嗎？{0x0A}"""
256,256,256,256,"""visual/c_vis168""","""要閱覽『家飾、雜貨０５』嗎？{0x0A}"""
256,256,256,256,"""visual/c_vis057""","""要閱覽『家飾、雜貨０６』嗎？{0x0A}"""
256,256,256,256,"""visual/c_vis170""","""要閱覽『家飾、雜貨０７』嗎？{0x0A}"""
256,256,256,256,"""visual/c_vis171""","""要閱覽『家飾、雜貨０８』嗎？{0x0A}"""
