ItemType,Data,Name,Desc
None,AAAAAAAyAAAAAAAAAAAUAAAAAAAAAAAAAAAAAA==,"""移動""",""" """
None,AQASFAABAQAAAAAAAAAeAAAAAABkAAAAAAAAAA==,""" """,""" """
None,AgAAAAAyAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA==,"""預約""",""" """
None,AwAAAAABAAABAAAAAAAUAAAAAAAAAAAAAAAAAA==,"""道具使用""",""" """
None,BAAAAAABAAAAAAAAAAAKAAAAAAAAAAAAAAAAAA==,""" """,""" """
None,BQAAAAMBAAAKAAIAAAAFAAoABAABAAAAAAAAAA==,"""預約""",""""""
None,BgAAAAMBAAAAAAAAAAAUAAAAAAAAAAAAAAAAAA==,""" """,""" """
None,BwASAQAFAQAAAAEAAAAZAAAAAAAAAAAAAAAAAA==,""" """,""" """
None,CAASAQABAAAAAAEAAAAAAAAAAABkAAMALAEAAA==,""" """,""" """
None,CQAAAAABAAAAAAAAAAAUAAAAAAAAAAAAAAAAAA==,""" """,""" """
None,CgASIQEEAw5kAAEAFAAPAAoAbgBkAAAACgAAAA==,"""磐岩尖刃""","""攻擊：單體・10％石化\n自大地隆起尖銳的岩石。10％機率造成「石化」狀態。"""
None,CgASIQEFAwBkAAMAFAAPAB4AbwCMAAAAAAAAAA==,"""地震波""","""攻擊：中圓\n在一定範圍內引發小型地震。"""
None,CgASIQEFAw5kAAIAGQAPACgAcAC0AAAAFAAAAA==,"""蛇妖吐息""","""攻擊：小圓・20％石化\n噴出石化的瘴氣，20％機率造成「石化」狀態。"""
None,CgASIQEMAwBkAAQAHgAPAFAAcQAsAQAAAAAAAA==,"""大地翻騰""","""攻擊：直線（指定地點）\n隆起的巨岩割裂大地，刺穿敵人。"""
None,CgASIQELAwBkAAUAGQAPAMgAcgAmAgAAAAAAAA==,"""世界之樹""","""攻擊：大圓（指定地點）\n擁有意志的大樹之根，可刺穿大範圍的敵人。"""
Empty,,,
Empty,,,
Empty,,,
Empty,,,
Empty,,,
None,CgASIQIEAwVkAAEAFAAPAAoAeABkAAAACgADAA==,"""冰封之刃""","""攻擊：單體・10％凍結\n釋放尖銳的冰之刃，10％機率造成「凍結」狀態。"""
None,CgASIQIFAwBkAAIAFAAPABQAeQCWAAAAAAAAAA==,"""碧藍露珠""","""攻擊：小圓\n將敵人封閉在水滴中，並將之引爆。"""
None,CgASIQIFAwVkAAMAGQAPAB4AegCvAAAAFAADAA==,"""冰之錘""","""攻擊：中圓・20％凍結\n從敵人的頭上落下冰柱，20％機率造成「凍結」狀態。"""
None,CgASIQIMAwBkAAMAGQAPACgAewD6AAAAAAAAAA==,"""水流轟擊""","""攻擊：直線（指定地點）\n擊出高壓水流，將敵人沖走。"""
None,CgASIQIFAwVkAAIAHgAPADwAfAAsAQAAHgADAA==,"""鑽石星塵""","""攻擊：小圓・30％凍結\n造出強烈的寒氣。30％機率造成「凍結」狀態。"""
None,CgASIQINAwBkAGQAHgAPANwAfQDCAQAAAAAAAA==,"""滅世洪水""","""攻擊：全體\n引發巨大海嘯，將全部敵人吞噬。"""
Empty,,,
Empty,,,
Empty,,,
Empty,,,
None,CgASIQMEAwZkAAEAFAAPAAoAggBpAAAACgADAA==,"""火焰箭""","""攻擊：單體・10％炎傷\n擊出猛烈燃燒的火球。10％機率造成「炎傷」狀態。"""
None,CgASIQMFAwBkAAMAGQAPABkAgwCRAAAAAAAAAA==,"""灼熱之波""","""攻擊：中圓\n用高熱覆蓋地表，將敵人燃燒殆盡。"""
None,CgASIQMEAwZkAAEAGQAPAB4AhADIAAAAHgADAA==,"""熔岩之息""","""攻擊：單體・30％炎傷\n將壓縮的熔岩炸裂，30％機率造成「炎傷」狀態。"""
None,CgASIQMFAwZkAAUAHgAPAFoAhQAsAQAAFAADAA==,"""蝶火亂舞""","""攻擊：大圓・20％炎傷\n產生無數火蝶飛舞，20％機率造成「炎傷」狀態。"""
None,CgASIQMEAwBkAAEAIwAPAIwAhgAgAwAAAAAAAA==,"""赤紅射線""","""攻擊：單體\n射下超高熱光線，將敵人燃為灰燼。"""
Empty,,,
Empty,,,
Empty,,,
Empty,,,
Empty,,,
None,CgASIQQEAwdkAAEADwAPAAoAjABfAAAACgAAAA==,"""紫電乍現""","""攻擊：單體・10％封技\n從上空落下雷電，10％機率造成「封技」狀態。"""
None,CgASIQQMAwBkAAIADwAPABQAjQCCAAAAAAAAAA==,"""風之鐮""","""攻擊：直線（指定地點）\n製造真空鐮擊，切裂敵人。"""
None,CgASIQQLAwBkAAMAFAAPAB4AjgCvAAAAAAAAAA==,"""風之領域""","""攻擊：中圓（指定地點）\n捲起帶有石塊的猛烈龍捲風。"""
None,CgASIQQFAwdkAAIAFAAPADIAjwDwAAAAHgAAAA==,"""閃電光束""","""攻擊：小圓・30％封技\n操控天氣，落下蒼藍的閃電，30％機率造成「封技」狀態。"""
None,CgASIQQLAwdkAAUAGQAPALQAkAD0AQAAFAAAAA==,"""雷光龍卷""","""攻擊：大圓（指定地點）・封技20％\n產生帶有雷光的巨大龍捲風。20％機率造成「封技」狀態。 """
Empty,,,
Empty,,,
Empty,,,
Empty,,,
Empty,,,
None,CgASIQUEAw1kAAEADwAPAAoAlgBzAAAACgAAAA==,"""心靈之霞""","""攻擊：單體・10％昏厥\n釋放出震動時空的波動，10％機率造成「昏厥」狀態。"""
None,CgASIQUFAw9kAAMAFAAPADwAlwDhAAAACgAAAA==,"""致命螺旋""","""攻擊：中圓・10％無法戰鬥\n煉獄之魔爪將敵人撕至四分五裂，10％機率造成「無法戰鬥」狀態。"""
None,CgASIQUFAxlkAAUAGQAPAIwAmACQAQAAZAAFAA==,"""暗影偽典""","""攻擊：大圓・HP吸收\n召喚漆黑的魔劍，將造成傷害值的5％轉化為自身的HP。"""
Empty,,,
Empty,,,
Empty,,,
Empty,,,
Empty,,,
Empty,,,
Empty,,,
None,CgASIQYLAy5kAAUAGQAPADwAoADIAAAA/v8DAA==,"""黑暗物質""","""攻擊：大圓（指定地點）・吸引・MOV-2\n利用高壓空間壓迫敵人的軀體，並向中心吸扯。"""
Empty,,,
None,CgASIQYMAwBkAAMAIwAPANwAogC8AgAAAAAAAA==,"""終末災禍""","""攻擊：直線（指定地點）\n放射出冷酷無情的閃光，使敵人與空間一同崩壞。"""
Empty,,,
Empty,,,
Empty,,,
Empty,,,
Empty,,,
Empty,,,
Empty,,,
None,CgASIQcEAwtkAAEAGQAPAB4AqgDIAAAACgADAA==,"""混沌利刃""","""攻擊：單體・10％混亂\n以擾亂認知能力的銀之刃貫穿敵人，10％機率造成「混亂」狀態。"""
None,CgASIQcFAwlkAAUAHgAPAGQAqwD6AAAAZAAFAA==,"""虛幻之塔""","""攻擊：大圓・100％黑暗\n從幻影之塔上降下光之箭，100％機率造成「黑暗」狀態。"""
None,CgASIQcNAwBkAGQAHgAPAPoArAD0AQAAAAAAAA==,"""天國之門""","""攻擊：全體\n開啟天國之門，以制裁之光將魔物清掃一空。"""
Empty,,,
Empty,,,
Empty,,,
Empty,,,
Empty,,,
Empty,,,
Empty,,,
None,CgDCIQEENABkAAEACgAZAAoAHgAKAAUAAAAAAA==,"""大地之癒""","""回復：單體・一定回合內回復HP\n獲得地之力提高自我療癒能力。一定回合內回復HP。"""
None,CgDCIQEEKQBkAAEACgAZAAoAHwAZAAMAAAAAAA==,"""結晶防護""","""輔助：單體・DEF+25％\n獲得大地守護。一定回合內DEF+25％。"""
None,CgDCIQEFKQBkAAMADAAZAB4AIAAZAAMAAAAAAA==,"""結晶防護・複""","""輔助：中圓・DEF+25％\n給予範圍內夥伴大地守護。一定回合內DEF+25％。"""
None,CgDCIQEFOQBkAAIADwAZAFAAIQAAAAEAAAAAAA==,"""剛石守護""","""輔助：小圓・物理完全防禦\n展開金剛石結界，完全防禦一次物理攻擊。"""
Empty,,,
Empty,,,
Empty,,,
Empty,,,
None,CgDCIQMEKABkAAEACgAZAAoAKAAZAAMAAAAAAA==,"""強音之力""","""輔助：單體・STR+25％\n得到來自火焰的守護，一定回合內STR+25％。"""
None,CgDCIQMFKABkAAMADAAZAB4AKQAZAAMAAAAAAA==,"""強音之力・複""","""輔助：中圓・STR+25％\n給予範圍內夥伴火焰守護，一定回合內STR+25％。"""
None,CgDCIQMFNQBkAAMADwAZACgAKgAFAAUAAAAAAA==,"""振奮之激""","""回復：中圓・一定回合內CP上昇\n激起範圍內夥伴的鬥志。一定回合內CP自動上昇。"""
Empty,,,
Empty,,,
Empty,,,
Empty,,,
Empty,,,
None,CgDDIQQFGwBkAAIACgAUAB4ADwAgAwAAAAAAAA==,"""生命之息""","""回復：小圓・HP中回復\n以滌淨生命的氣息之力中幅回復範圍內夥伴的HP。"""
None,CgDDIQQFGwBkAAUADAAUADwAEAC4CwAAAAAAAA==,"""聖靈之息""","""回復：大圓・HP大回復\n以滌淨生命的神聖氣息之力大幅回復範圍內夥伴的HP。"""
None,CgDCIQQFLgBkAAMADAAUABQALQAEAAMAAAAAAA==,"""風之穿梭""","""輔助：中圓・MOV+4\n以風精靈之力使移動距離飛躍提昇。一定回合內MOV+4。"""
None,CgDCIQQFLwBkAAUADAAUACgALgAAAAAAAAAAAA==,"""大治癒術""","""回復：大圓・解除「所有異常狀態」\n解除範圍內我方「無法戰鬥」外的異常狀態。"""
None,CgASIQQNCgBkAGQADwAUADIALwAyAAUAAAAAAA==,"""魅惑妖歌""","""妨礙：全體・50％睡眠\n響起精靈之歌，將敵人誘入深度睡眠，50％機率造成「睡眠」狀態。"""
Empty,,,
Empty,,,
Empty,,,
None,CgASIQUFLABkAAMACgAZAAoAMgDn/wMAAAAAAA==,"""時間減速""","""妨礙：中圓・SPD-25％\n減慢範圍內的時間流動。一定回合內SPD-25％。"""
None,CgDCIQUFLABkAAMACgAZABQAMgAZAAMAAAAAAA==,"""時間驅動""","""輔助：中圓・SPD+25％\n加快範圍內的時間流動。一定回合內SPD+25％。"""
None,CgASIQUFLC5kAAUADwAZADwAMgDO/wMA/f8DAA==,"""災難之爪""","""妨礙：大圓・MOV-3・SPD-50％\n以煉獄魔爪橫掃敵人腿部。一定回合內MOV-3・SPD-50％。"""
Empty,,,
Empty,,,
Empty,,,
Empty,,,
Empty,,,
None,CgDCIQYFKitkAAUADAAZAB4APQAZAAMAGQADAA==,"""魔導祝福""","""輔助：大圓・ATS/ADF+25％\n給予範圍內夥伴祝福。一定回合內ATS/ADF+25％。"""
None,CgDCIQYEOwBkAAMADAAZACgAPgAAAAEAAAAAAA==,"""A-反射屏障""","""輔助：單體・魔法反射\n展開能反射一次導力魔法的魔導屏障。"""
None,CgDjIQYFMgBkAAUADwAZAPAAEgAgTgAAAAAAAA==,"""聖靈復甦""","""回復：大圓・解除「無法戰鬥」・完全回復HP\n解除範圍內我方的「無法戰鬥」，並完全回復HP。"""
None,CgDCIQYNMABkAGQADwAZAAoAPAAAAAAAAAAAAA==,"""聖潔方舟""","""回復：全體・解除「能力降低」\n回復我方全體降低的能力值到正常值。"""
Empty,,,
Empty,,,
Empty,,,
Empty,,,
