Id,Data,Name
0,AABwAAEAcAAAAAAwAAAAAA==,"""羅伊德"""
1,AAFwAAEBcAAAAQAwAAAAAA==,"""艾莉"""
2,AAJwAAECcAAAAgAwAAAAAA==,"""緹歐"""
3,AANwAAEDcAAAAwAwAAAAAA==,"""蘭迪"""
4,AARwAAEEcAAABAAwAAAAAA==,"""瓦奇"""
5,AAVwAAEFcAAABQAwAAAAAA==,"""銀"""
6,AAZwAAEGcAAABgAwAAAAAA==,"""艾絲蒂爾"""
7,AAdwAAEHcAAABwAwAAAAAA==,"""約書亞"""
8,AAhwAAEIcAAACAAwAAAAAA==,"""諾艾兒上士"""
9,AAlwAAEJcAAACQAwAAAAAA==,"""達德利搜查官"""
10,AAAAAAAAAAAAAAAAAAAAAA==,""" """
11,AAAAAAAAAAAAAAAAAAAAAA==,""" """
12,AAAAAAAAAAAAAAAAAAAAAA==,""" """
13,AAAAAAAAAAAAAAAAAAAAAA==,""" """
14,AAAAAAAAAAAAAAAAAAAAAA==,""" """
15,UAKWAFAClgAAAAYwAAAAAA==,"""※怪物"""
21,AABwAAAAcAABIQAwAAAAAA==,"""瓦魯多"""
27,ACdwAAAncAAAAAAAAAAAAA==,"""賽特"""
50,AFBwAABQcAAAUAAwAAAAAA==,"""琪雅"""
53,AFNwAABTcAAAAAAAAAAAAA==,"""賽西兒"""
55,AFVwAABVcAAAAAAAAAAAAA==,"""瑪利亞貝爾"""
60,AGBwAABgcAAAAAAAAAAAAA==,"""格蕾絲"""
76,AHZwAAB2cAAAAAAwAAAAAA==,"""羅伊德"""
77,AHdwAAB3cAAAAQAwAAAAAA==,"""艾莉"""
78,AHhwAAB4cAAAAgAwAAAAAA==,"""緹歐"""
79,AHlwAAB5cAAAAwAwAAAAAA==,"""蘭迪"""
80,AIBwAACAcAAABAAwAAAAAA==,"""瓦奇"""
81,AIFwAACBcAAAAAAwAAAAAA==,"""羅伊德"""
82,AIJwAAGCcAAAggAwAAAAAA==,"""琪雅"""
87,AIdwAACHcAAAhwAwAAAAAA==,"""小滴"""
95,AJVwAAGVcAAAlQAwAAAAAA==,"""蕾恩"""
150,ACJyAAAicgAAUAEwAAAAAA==,"""安里"""
151,AAZyAAAGcgAAUQEwAAAAAA==,"""龍"""
152,ACRzAAAkcwAAUgEwAAAAAA==,"""觀光客Ａ"""
153,ACNzAAAjcwAAUwEwAAAAAA==,"""觀光客Ｂ"""
154,AAhxAAEIcQAAAAAwAAAAAA==,"""羅伊德"""
155,AAZxAAEGcQAAAAAwAAAAAA==,"""羅伊德"""
156,AAdxAAEHcQAAAwAwAAAAAA==,"""蘭迪"""
157,AAAAAAAAAAAAVwEwAAAAAA==,"""巴士"""
158,AHNzAABzcwAAAAAAAAAAAA==,"""安敦"""
159,AIJwAAGCcAABggAwAAAAAA==,"""琪雅"""
999,AAAAAAAAAAAAAAAAAAAAAA==,""" """
