Id,Type,Point,Count,Name,Desc
1,1,50,0,"""新人搜查官""","""得到搜查手冊。"""
3,1,100,238,"""天眼之智者""","""收集戰鬥手冊中的所有資訊。"""
4,1,100,52,"""市民的英雄""","""完成所有支援請求。"""
5,1,100,24,"""炎之料理人""","""收集所有食譜。"""
6,1,100,77,"""結晶迴路收藏家""","""收集所有結晶迴路。"""
7,1,100,0,"""書籍收藏家""","""收集所有《黑市醫生葛蘭》與《克洛斯貝爾時報周刊》。"""
9,1,100,230,"""寶藏獵人""","""開啟所有寶箱。"""
10,1,100,24,"""爆釣王""","""釣獲所有魚。"""
11,1,50,24,"""三星廚師""","""完成所有大成功料理。"""
12,1,50,24,"""獨樹一幟的廚師""","""完成所有預想外料理。"""
13,1,100,0,"""百萬富翁""","""持有金錢達到1,000,000米拉以上。"""
17,1,50,100,"""力戰之勇士""","""戰鬥勝利次數達到100次。"""
18,1,100,500,"""奮戰之猛者""","""戰鬥勝利次數達到500次。"""
19,1,150,1000,"""歷戰之勝者""","""戰鬥勝利次數達到1000次。"""
20,1,100,2000,"""千討之志士""","""打倒2000個以上的敵人。"""
21,1,50,100,"""雷光一閃""","""發動先制攻擊次數達到100次。"""
22,1,50,100,"""超絕秘技""","""發動Ｓ－ＢＲＥＡＫ次數達到100次。"""
23,1,50,100,"""百花迎擊""","""阻止敵人的招式・魔法驅動達100次"""
24,1,50,0,"""起死回生""","""在戰鬥中脫離危機狀態。"""
25,1,50,300,"""絢爛攻守""","""戰術獎勵達到x3.0以上。"""
26,1,50,0,"""連戰連破""","""在3連鎖戰鬥中獲得勝利。"""
27,1,50,8,"""八頭擊滅""","""同時打倒8個敵人。"""
8,1,50,0,"""傢俱收藏家""","""收集所有傢俱與ＥＮＩＧＭＡ機殼。"""
14,1,100,0,"""延續之雅士""","""遊玩時間超過100小時。"""
15,1,100,0,"""至高之劍""","""製作最強武器。"""
16,1,100,50,"""無雙之烈士""","""將一位成員等級提昇至50。"""
2,1,100,14,"""一流搜查官""","""成為搜查官・1ST。"""
30,1,150,0,"""孤高的搜查官""","""所有人等級低於40的狀態下完成遊戲。"""
31,1,100,0,"""老練的搜查官""","""以HARD以上的難度完成遊戲。"""
32,1,200,0,"""傳說中的搜查官""","""以NIGHTMARE難度完成遊戲。"""
28,1,50,0,"""不敗的勇者""","""在無法戰鬥次數為0的情況下通過任一章。"""
29,1,50,0,"""勇猛的獅子""","""在戰鬥撤退次數為0的情況下通過任一章。"""
33,3,50,0,"""星之獵人""","""打倒通緝魔獸【惡魔巨翼龍】。"""
34,3,50,0,"""月之獵人""","""打倒通緝魔獸【幻魔】。"""
35,3,50,0,"""太陽獵人""","""打倒通緝魔獸【暗黑英雄】。"""
36,3,50,0,"""闇之獵人""","""打倒【支配者・斷罪天使】。"""
37,3,50,0,"""踏出的決心""","""完成序章『特務支援課』。"""
38,3,50,0,"""行進的意志""","""完成第１章『神狼們的午後』。"""
39,3,50,0,"""擺脫的迷茫""","""完成第２章『金之太陽、銀之月』。"""
40,3,50,0,"""前進的決心""","""完成第３章『克洛斯貝爾創立紀念慶典』。"""
41,3,50,0,"""追求的意志""","""完成第４章『悄然襲來的睿智』。"""
42,3,50,0,"""嶄新的決心""","""完成終章『克洛斯貝爾最漫長的一日』。"""
43,3,50,0,"""跨越身份的戀情""","""和艾莉參加《黑之拍賣會》。"""
44,3,50,0,"""不諳世事的兄妹""","""和緹歐參加《黑之拍賣會》。"""
45,3,50,0,"""損友的勸誘""","""和蘭迪參加《黑之拍賣會》。"""
46,3,50,0,"""和艾莉的羈絆""","""和艾莉培養出深厚的羈絆。"""
47,3,50,0,"""和緹歐的羈絆""","""和緹歐培養出深厚的羈絆。"""
48,3,50,0,"""和蘭迪的羈絆""","""和蘭迪培養出深厚的羈絆。"""
0,0,0,0,"""""",""""""
